X1,Y1,X2,Y2,Confidence,Class
219,612,518,704,0.85,Car
0,175,43,230,0.31,Dummy
634,205,699,266,0.29,Dummy
216,614,519,704,0.85,Car
634,206,699,267,0.32,Dummy
0,175,44,229,0.28,Dummy
275,624,509,704,0.27,Car
218,614,519,704,0.86,Car
634,206,698,268,0.36,Dummy
0,175,44,230,0.3,Dummy
218,614,518,704,0.86,Car
634,206,698,266,0.56,Dummy
0,175,44,230,0.29,Dummy
218,614,519,704,0.86,Car
0,175,44,230,0.33,Dummy
218,613,520,704,0.84,Car
291,619,512,704,0.58,Car
634,206,698,267,0.41,Dummy
0,175,44,230,0.31,Dummy
218,613,519,704,0.84,Car
0,174,44,229,0.28,Dummy
634,206,698,266,0.26,Dummy
218,614,519,704,0.86,Car
0,174,44,230,0.29,Dummy
217,614,518,704,0.85,Car
217,614,519,703,0.84,Car
296,620,512,704,0.57,Car
634,206,698,268,0.31,Dummy
0,175,44,230,0.29,Dummy
216,614,520,704,0.84,Car
634,206,698,267,0.34,Dummy
0,175,44,229,0.26,Dummy
216,613,518,704,0.84,Car
283,620,512,704,0.5,Car
634,206,698,265,0.35,Dummy
0,174,44,230,0.29,Dummy
217,614,519,703,0.86,Car
634,206,698,266,0.38,Dummy
0,175,44,230,0.26,Dummy
217,614,519,704,0.87,Car
287,620,512,704,0.58,Car
634,205,698,267,0.34,Dummy
0,175,43,230,0.31,Dummy
218,614,519,704,0.85,Car
634,206,698,268,0.39,Dummy
0,175,44,230,0.33,Dummy
217,614,519,704,0.84,Car
634,206,698,268,0.29,Dummy
0,175,44,230,0.29,Dummy
217,614,519,704,0.88,Car
0,175,44,230,0.31,Dummy
218,614,519,703,0.85,Car
634,206,699,267,0.29,Dummy
0,175,43,230,0.28,Dummy
217,614,519,704,0.84,Car
634,206,698,266,0.32,Dummy
0,175,43,230,0.32,Dummy
217,613,518,704,0.85,Car
0,175,43,230,0.27,Dummy
634,205,699,267,0.27,Dummy
217,614,519,703,0.88,Car
0,174,44,230,0.3,Dummy
216,614,519,704,0.83,Car
634,206,699,267,0.43,Dummy
0,175,44,230,0.27,Dummy
219,615,519,703,0.87,Car
634,205,699,267,0.41,Dummy
217,614,518,704,0.86,Car
292,618,512,704,0.53,Car
634,206,699,266,0.31,Dummy
217,613,519,704,0.86,Car
634,206,698,266,0.44,Dummy
0,175,44,230,0.26,Dummy
232,612,528,703,0.87,Car
634,206,698,268,0.6,Dummy
0,175,44,230,0.28,Dummy
217,613,519,704,0.83,Car
296,619,512,704,0.56,Car
634,205,699,267,0.52,Dummy
0,174,44,230,0.27,Dummy
117,157,208,209,0.26,Dummy
218,614,519,704,0.86,Car
0,175,44,230,0.32,Dummy
634,206,699,268,0.31,Dummy
217,613,518,704,0.86,Car
0,175,44,230,0.3,Dummy
218,613,519,704,0.85,Car
219,612,519,704,0.85,Car
292,618,512,704,0.6,Car
0,175,43,230,0.29,Dummy
218,612,519,704,0.86,Car
216,612,519,704,0.86,Car
0,175,44,230,0.26,Dummy
216,614,519,704,0.86,Car
218,614,519,704,0.86,Car
0,175,43,230,0.34,Dummy
216,613,520,704,0.85,Car
0,176,43,230,0.32,Dummy
